"","23R8925|009|CD11c","23R8925|010|CD11c","23R9663|015|CD11c","23R9663|016|CD11c","23R9663|004|CD11c","23R9663|005|CD11c","23R9663|006|CD11c","23R9663|007|CD11c","23R8925|013|CD11c","23R8925|014|CD11c","23R8925|017|CD11c","23R8925|018|CD11c","23R9663|009|CD11c","23R9663|002|CD11c","23R9663|013|CD11c","23R9663|001|CD11c"
"SIN3A",53.5836438239207,56.8463956467772,49.7888220830462,48.2437461169323,39.3039093128632,50.4132719101718,48.0702400298116,51.0694875744202,43.9589342833603,43.2648351202805,54.7156582113207,61.3487384389113,53.385301638285,46.1363176554896,49.4186785660705,50.5671942376852
"HLA-DRB5",30.4341323178342,39.4112899824985,26.2597534621944,30.4012672199826,38.7052259689631,28.0257163135319,30.4139200276193,29.5753026238892,493.219176575165,374.665982769607,28.930420763175,24.6273732296011,424.856946311164,555.194570193407,567.159212728935,506.426656790621
"FOXM1",26.0532151116983,27.7820956219616,33.9607687039747,35.2590335803908,35.4484078031934,34.2797310036027,35.9414344548512,34.4706632094053,32.7341913832172,29.977879849686,24.4001434319444,29.1071866488225,29.1495109055684,30.1079074106403,23.7174233383781,37.2868312126289
"SMAD2",44.9253027856429,47.7869588399532,43.6665003137425,46.0601178299441,54.8120804181381,50.1559900614655,50.5698354467021,52.2102985165255,49.1145748059338,46.013000590601,52.8573327668438,52.0488095671137,46.2312222305233,53.2336509514378,38.1986206126368,47.9645548223714
"PAX3",26.7864615654136,33.0070435037692,33.8189527698536,31.7388822244071,30.9387728934684,32.1853183090432,29.5895992849298,29.7975493502683,29.5639464992027,29.3691266668646,33.4957680289212,29.8407331559985,29.7318399746722,45.1188975915035,28.8904201892925,41.7354414999451
"HLA-DOB",47.4635020371618,50.6459656207479,45.9211249731366,55.4891702733952,64.6424785715504,58.4369286690413,51.6094711435208,50.7927172303673,57.5736167678203,66.5568877524766,92.4516423293968,94.0600164619243,61.1335744710899,50.5214175137933,59.9405862286896,55.8454260683486
"TNFRSF18",43.6573746369856,44.9043727259532,36.3275823170747,34.8209847079259,42.0820610689184,42.2493904781697,39.751025320062,41.2502995602317,32.5706443318762,43.7968686201636,42.7509638665726,34.8856215059782,39.3888359123683,39.5037245735108,38.1927989818996,43.3611853857461
"BID",33.2177940360963,31.0893239628351,32.197393040151,30.5470305028234,37.4547832314515,35.5808660789932,34.0772394768256,32.9204381261223,32.1148969624347,36.7559604775305,41.5754946235969,33.7787208733568,43.472572880802,38.7843576491759,35.920875845284,39.03997176088
"IL2RB",73.1837485371586,76.4199989986366,85.3757864422652,97.8817959440785,82.0173799532072,90.5724647391125,95.584516749511,88.8395517683031,48.094588924861,65.7731879440177,75.0863853779964,84.5963884760783,53.4205625412247,52.451419412132,54.6610450375532,50.8219012459335
"EPCAM",25.7174267461826,26.3803349060841,30.1965241227909,28.7544181048455,28.5403367166841,27.9464028601435,27.4195641949154,31.0564202253715,33.3970949193113,31.8794250840762,28.1279694106839,27.443580461412,28.2889709511861,35.7962820982059,28.1715921110354,34.2754246943191
